original	old	match_kind	name_usage	accepted_name_usage	parent_name_usage
Osphranter robustus	:osphranter-robustus	species match	https://id.biodiversity.org.au/instance/afd/70813229	https://id.biodiversity.org.au/instance/afd/70813229	https://id.biodiversity.org.au/instance/afd/70813226
Oxalis thompsoniae	:oxalis-thompsoniae	species match	https://id.biodiversity.org.au/instance/apni/663328	https://id.biodiversity.org.au/instance/apni/663328	https://id.biodiversity.org.au/instance/apni/663310
Oxylobium ellipticum	:oxylobium-ellipticum	species match	https://id.biodiversity.org.au/instance/apni/749271	https://id.biodiversity.org.au/instance/apni/749271	https://id.biodiversity.org.au/instance/apni/7241357
Oxyura australis	:oxyura-australis	species match	https://id.biodiversity.org.au/instance/afd/70864411	https://id.biodiversity.org.au/instance/afd/70864411	https://id.biodiversity.org.au/instance/afd/70864410
Papyrius nitidus	:papyrius-nitidus	species match	https://id.biodiversity.org.au/instance/afd/70927170	https://id.biodiversity.org.au/instance/afd/70927170	https://id.biodiversity.org.au/instance/afd/70927168
Paralucia aurifera	:paralucia-aurifera	species match	https://id.biodiversity.org.au/instance/afd/70932690	https://id.biodiversity.org.au/instance/afd/70932690	https://id.biodiversity.org.au/instance/afd/70932689
Pardalotus punctatus	:pardalotus-punctatus	species match	https://id.biodiversity.org.au/instance/afd/70861284	https://id.biodiversity.org.au/instance/afd/70861284	https://id.biodiversity.org.au/instance/afd/70861269
Passer domesticus	:passer-domesticus	species match	https://id.biodiversity.org.au/instance/afd/70865532	https://id.biodiversity.org.au/instance/afd/70865532	https://id.biodiversity.org.au/instance/afd/70865530
Pelargonium australe	:pelargonium-australe	species match	https://id.biodiversity.org.au/instance/apni/663277	https://id.biodiversity.org.au/instance/apni/663277	https://id.biodiversity.org.au/instance/apni/663275
Pernattia pusilla	:pernattia-pusilla	species match	https://id.biodiversity.org.au/instance/afd/70786428	https://id.biodiversity.org.au/instance/afd/70786428	https://id.biodiversity.org.au/instance/afd/70786425
Petroica phoenicea	:petroica-phoenicea	species match	https://id.biodiversity.org.au/instance/afd/72412106	https://id.biodiversity.org.au/instance/afd/70861900	https://id.biodiversity.org.au/instance/afd/70861892
