Feature,Geometry
370,POINT (149.1634614 -35.23864132)
371,POINT (149.1082095 -35.27739326)
372,POINT (148.7478538 -35.36026773)
373,POINT (149.1145175 -35.26734827)
374,POINT (149.1621275 -35.3165962)
375,POINT (149.1191725 -35.27109826)
376,POINT (149.1175055 -35.17052738)
377,POINT (148.8884937 -35.48994357)
378,POINT (149.1208725 -35.16722738)
379,POINT (149.1856173 -35.37145036)
380,POINT (149.1539414 -35.17867338)
381,POINT (149.1949084 -35.28171137)
382,POINT (149.001627 -35.311367)
383,POINT (149.1655615 -35.3169312)
384,POINT (149.1720707 -35.28538642)
385,POINT (149.0813826 -35.25816828)
386,POINT (149.129993 -35.38819651)
387,POINT (149.032968 -35.367418)
388,POINT (149.1161724 -35.46353503)
